標題/社區,地址,價格,坪數,房型,樓層,建物類型
尚海,淡水區-淡金路,7000,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,13900,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,13900,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
海洋都心3,淡水區-新市五路三段,13900,17,,,
台北灣2觀海/台北灣B區大樓區,淡水區-新市一路一段,30000,53.9,,,
宏盛水悅,淡水區-新市三路一段,18000,28.1,真理大學對面巷子～學生套房～多間可選,,
海洋都心,淡水區-新市五路三段238號,5000,5,分租套房,淡大學生宿舍出租英專路/3樓,
2F/5F,淡水區-新民街152巷6弄8號,7000,7,獨立套房,淡大學生宿舍出租英專路/3樓,
3F/5F,淡水區-英專路79巷12號,85000,71.3,,,
大隱小藍海,淡水區-中正東路二段107巷,9000,5,(重新開放)免仲介費，金房東電梯獨立套房，近淡江大學,,
1F/5F,淡水區-學府路172巷,7500,6.3,獨立套房,,淡江大學旁四房家具齊全電梯大樓
金房東,淡水區-學府路205巷6號,17800,50,,,淡江大學旁四房家具齊全電梯大樓
巧克力花園,淡水區-水源街二段177巷,6500,6,大忠街郵局對面巷內鬧中取靜的優質套房,,
4F/6F,淡水區-水源街二段,6500,5,獨立套房,,
淡大西雅圖,淡水區-大忠街24巷7號,20000,32.4,,,
台北灣三期江南頤和,淡水區-濱海路三段148巷,6000,6,分租套房,,
4F/5F,淡水區-新民街180巷,26000,19.9,,,
台北灣 銀河,淡水區-新市一路一段,5500,5,分租套房,,
2F/5F,淡水區-英專路,7000,5,分租套房,,
3F/5F,淡水區-真理街3巷23號,23000,16.5,,,
馥樂樂,淡水區-中山北路三段41號,5500,6,雅房,,
2F/2F,淡水區-自強路,23900,19,,,
南加州,淡水區-民權路,7000,8,504超乾淨套房專人收垃圾高速網路智慧電視,,
